"Montant
de pension
(en euros)";Femmes;Hommes;Ensemble
De 0 à 100 euros;2,48;4,73;3,56
De 100 à 200 euros;5,62;2,71;4,22
De 200 à 300 euros;6,31;1,65;4,07
De 300 à 400 euros;5,93;1,35;3,73
De 400 à 500 euros;5,05;1,12;3,17
De 500 à 600 euros;5,19;1,16;3,26
De 600 à 700 euros;5,49;1,40;3,52
De 700 à 800 euros;6,12;1,96;4,12
De 800 à 900 euros;7,48;3,56;5,60
De 900 à 1000 euros;5,77;3,71;4,78
De 1000 à 1100 euros;4,35;3,54;3,96
De 1100 à 1200 euros;4,42;3,88;4,16
De 1200 à 1300 euros;4,00;4,32;4,15
De 1300 à 1400 euros;3,83;4,71;4,26
De 1400 à 1500 euros;3,32;5,13;4,19
De 1500 à 1600 euros;2,98;5,11;4,00
De 1600 à 1700 euros;2,46;4,82;3,60
De 1700 à 1800 euros;2,32;4,41;3,33
De 1800 à 1900 euros;2,28;4,18;3,19
De 1900 à 2000 euros;2,17;3,76;2,93
De 2000 à 2100 euros;1,96;3,40;2,65
De 2100 à 2200 euros;1,74;3,23;2,45
De 2200 à 2300 euros;1,45;2,82;2,11
De 2300 à 2400 euros;1,29;2,51;1,87
De 2400 à 2500 euros;1,04;2,19;1,59
De 2500 à 2600 euros;0,81;2,03;1,40
De 2600 à 2700 euros;0,72;1,76;1,22
De 2700 à 2800 euros;0,63;1,53;1,06
De 2800 à 2900 euros;0,47;1,39;0,91
De 2900 à 3000 euros;0,39;1,19;0,78
De 3000 à 3100 euros;0,31;1,07;0,67
De 3100 à 3200 euros;0,27;0,95;0,59
De 3200 à 3300 euros;0,20;0,84;0,51
De 3300 à 3400 euros;0,16;0,75;0,44
De 3400 à 3500 euros;0,11;0,63;0,36
De 3500 à 3600 euros;0,12;0,56;0,33
De 3600 à 3700 euros;0,10;0,51;0,30
De 3700 à 3800 euros;0,11;0,49;0,29
De 3800 à 3900 euros;0,08;0,42;0,24
De 3900 à 4000 euros;0,07;0,37;0,21
De 4000 à 4100 euros;0,05;0,34;0,19
De 4100 à 4200 euros;0,04;0,30;0,16
De 4200 à 4300 euros;0,04;0,25;0,14
De 4300 à 4400 euros;0,04;0,26;0,15
De 4400 à 4500 euros;0,03;0,23;0,12
Supérieur à 4500 euros;0,21;2,77;1,44
